#query	mnx_id	reference	xrefs	name
H2Ot	MNXR98641	rheaR:29667	bigg.reaction:EX_h2o_e ... bigg.reaction:H2Ot ... bigg.reaction:H2Otcx ... bigg.reaction:H2Oter ... bigg.reaction:H2Otex ... bigg.reaction:H2Otf ... bigg.reaction:H2Otg ... bigg.reaction:H2Oth ... bigg.reaction:H2Othu ... bigg.reaction:H2Otly ... bigg.reaction:H2Otm ... bigg.reaction:H2Otn ... bigg.reaction:H2Otp ... bigg.reaction:H2Otpp ... bigg.reaction:H2Ots ... bigg.reaction:H2Otu_syn ... bigg.reaction:H2Otv ... bigg.reaction:R_EX_h2o_e ... bigg.reaction:R_H2Ot ... bigg.reaction:R_H2Otcx ... bigg.reaction:R_H2Oter ... bigg.reaction:R_H2Otex ... bigg.reaction:R_H2Otf ... bigg.reaction:R_H2Otg ... bigg.reaction:R_H2Oth ... bigg.reaction:R_H2Othu ... bigg.reaction:R_H2Otly ... bigg.reaction:R_H2Otm ... bigg.reaction:R_H2Otn ... bigg.reaction:R_H2Otp ... bigg.reaction:R_H2Otpp ... bigg.reaction:R_H2Ots ... bigg.reaction:R_H2Otu_syn ... bigg.reaction:R_H2Otv ... biggR:EX_h2o_e ... biggR:H2Ot ... biggR:H2Otcx ... biggR:H2Oter ... biggR:H2Otex ... biggR:H2Otf ... biggR:H2Otg ... biggR:H2Oth ... biggR:H2Othu ... biggR:H2Otly ... biggR:H2Otm ... biggR:H2Otn ... biggR:H2Otp ... biggR:H2Otpp ... biggR:H2Ots ... biggR:H2Otu_syn ... biggR:H2Otv ... biggR:R_EX_h2o_e ... biggR:R_H2Ot ... biggR:R_H2Otcx ... biggR:R_H2Oter ... biggR:R_H2Otex ... biggR:R_H2Otf ... biggR:R_H2Otg ... biggR:R_H2Oth ... biggR:R_H2Othu ... biggR:R_H2Otly ... biggR:R_H2Otm ... biggR:R_H2Otn ... biggR:R_H2Otp ... biggR:R_H2Otpp ... biggR:R_H2Ots ... biggR:R_H2Otu_syn ... biggR:R_H2Otv ... deprecated:MNXR2865 ... metacyc.reaction:RXN-22387 ... metacyc.reaction:TRANS-RXN-145 ... metacyc.reaction:TRANS-RXN0-547 ... metacycR:RXN-22387 ... metacycR:TRANS-RXN-145 ... metacycR:TRANS-RXN0-547 ... rhea:29667 ... rhea:29668 ... rhea:29669 ... rhea:29670 ... rheaR:29667 ... rheaR:29668 ... rheaR:29669 ... rheaR:29670 ... seed.reaction:rxn05319 ... seed.reaction:rxn08686 ... seed.reaction:rxn08687 ... seed.reaction:rxn09643 ... seed.reaction:rxn09745 ... seed.reaction:rxn09812 ... seed.reaction:rxn09838 ... seed.reaction:rxn09874 ... seed.reaction:rxn31175 ... seed.reaction:rxn33306 ... seed.reaction:rxn34181 ... seedR:rxn05319 ... seedR:rxn08686 ... seedR:rxn08687 ... seedR:rxn09643 ... seedR:rxn09745 ... seedR:rxn09812 ... seedR:rxn09838 ... seedR:rxn09874 ... seedR:rxn31175 ... seedR:rxn33306 ... seedR:rxn34181	1 WATER@MNXD1 = 1 WATER@MNXD2
ICDHyr	MNXR191121	keggR:R00267	bigg.reaction:ICDHhr ... bigg.reaction:ICDHym ... bigg.reaction:ICDHyp ... bigg.reaction:ICDHyr ... bigg.reaction:R_ICDHhr ... bigg.reaction:R_ICDHym ... bigg.reaction:R_ICDHyp ... bigg.reaction:R_ICDHyr ... biggR:ICDHhr ... biggR:ICDHym ... biggR:ICDHyp ... biggR:ICDHyr ... biggR:R_ICDHhr ... biggR:R_ICDHym ... biggR:R_ICDHyp ... biggR:R_ICDHyr ... deprecated:MNXR100781 ... deprecated:MNXR115983 ... kegg.reaction:R00267 ... keggR:R00267 ... sabiork.reaction:269 ... sabiorkR:269 ... seed.reaction:rxn00198 ... seed.reaction:rxn30399 ... seed.reaction:rxn30400 ... seed.reaction:rxn33806 ... seedR:rxn00198 ... seedR:rxn30399 ... seedR:rxn30400 ... seedR:rxn33806	1 MNXM13@MNXD1 + 1 MNXM20@MNXD1 + 1 MNXM738702@MNXD1 = 1 MNXM5@MNXD1 + 1 MNXM89661@MNXD1
ICL	MNXR191123	keggR:R00479	bigg.reaction:ICL ... bigg.reaction:ICL_1 ... bigg.reaction:ICL_x ... bigg.reaction:R_ICL ... bigg.reaction:R_ICL_1 ... bigg.reaction:R_ICL_x ... biggR:ICL ... biggR:ICL_1 ... biggR:ICL_x ... biggR:R_ICL ... biggR:R_ICL_1 ... biggR:R_ICL_x ... deprecated:MNXR100789 ... deprecated:MNXR115982 ... kegg.reaction:R00479 ... keggR:R00479 ... sabiork.reaction:911 ... sabiorkR:911 ... seed.reaction:rxn00336 ... seed.reaction:rxn33532 ... seed.reaction:rxn33534 ... seed.reaction:rxn33880 ... seedR:rxn00336 ... seedR:rxn33532 ... seedR:rxn33534 ... seedR:rxn33880	1 MNXM25@MNXD1 + 1 MNXM69@MNXD1 = 1 MNXM89661@MNXD1
LDH_D	MNXR101037	rheaR:16369	bigg.reaction:LDH_D ... bigg.reaction:LDHm ... bigg.reaction:R_LDH_D ... bigg.reaction:R_LDHm ... biggR:LDH_D ... biggR:LDHm ... biggR:R_LDH_D ... biggR:R_LDHm ... deprecated:MNXR3212 ... kegg.reaction:R00704 ... keggR:R00704 ... metacyc.reaction:DLACTDEHYDROGNAD-RXN ... metacycR:DLACTDEHYDROGNAD-RXN ... rhea:16369 ... rhea:16370 ... rhea:16371 ... rhea:16372 ... rheaR:16369 ... rheaR:16370 ... rheaR:16371 ... rheaR:16372 ... sabiork.reaction:155 ... sabiorkR:155 ... seed.reaction:rxn00500 ... seed.reaction:rxn34235 ... seedR:rxn00500 ... seedR:rxn34235	1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM731834@MNXD1 + 1 MNXM8@MNXD1
MALS	MNXR188337	rheaR:18181	bigg.reaction:MALS ... bigg.reaction:MALSh ... bigg.reaction:MALSm ... bigg.reaction:MALSp ... bigg.reaction:R_MALS ... bigg.reaction:R_MALSh ... bigg.reaction:R_MALSm ... bigg.reaction:R_MALSp ... biggR:MALS ... biggR:MALSh ... biggR:MALSm ... biggR:MALSp ... biggR:R_MALS ... biggR:R_MALSh ... biggR:R_MALSm ... biggR:R_MALSp ... deprecated:MNXR101347 ... deprecated:MNXR188338 ... kegg.reaction:R00472 ... keggR:R00472 ... metacyc.reaction:MALSYN-RXN ... metacycR:MALSYN-RXN ... rhea:18181 ... rhea:18182 ... rhea:18183 ... rhea:18184 ... rheaR:18181 ... rheaR:18182 ... rheaR:18183 ... rheaR:18184 ... sabiork.reaction:152 ... sabiorkR:152 ... seed.reaction:rxn00330 ... seed.reaction:rxn20162 ... seed.reaction:rxn33881 ... seed.reaction:rxn34243 ... seed.reaction:rxn34244 ... seedR:rxn00330 ... seedR:rxn20162 ... seedR:rxn33881 ... seedR:rxn34243 ... seedR:rxn34244	1 MNXM1104266@MNXD1 + 1 MNXM69@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1107192@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM727276@MNXD1
MALt2_2	MNXR101370	rheaR:29339	bigg.reaction:MALt2_2 ... bigg.reaction:MALt2_2pp ... bigg.reaction:R_MALt2_2 ... bigg.reaction:R_MALt2_2pp ... biggR:MALt2_2 ... biggR:MALt2_2pp ... biggR:R_MALt2_2 ... biggR:R_MALt2_2pp ... deprecated:MNXR3407 ... metacyc.reaction:TRANS-RXN-121A ... metacycR:TRANS-RXN-121A ... rhea:29339 ... rhea:29340 ... rhea:29341 ... rhea:29342 ... rheaR:29339 ... rheaR:29340 ... rheaR:29341 ... rheaR:29342 ... seed.reaction:rxn08865 ... seed.reaction:rxn10153 ... seedR:rxn08865 ... seedR:rxn10153	2 MNXM01@MNXD1 + 1 MNXM1107192@MNXD1 = 2 MNXM01@MNXD2 + 1 MNXM1107192@MNXD2
MDH	MNXR101439	rheaR:21432	bigg.reaction:MDH ... bigg.reaction:MDHf ... bigg.reaction:MDHh ... bigg.reaction:MDHi2 ... bigg.reaction:MDHm ... bigg.reaction:MDHp ... bigg.reaction:R_MDH ... bigg.reaction:R_MDHf ... bigg.reaction:R_MDHh ... bigg.reaction:R_MDHi2 ... bigg.reaction:R_MDHm ... bigg.reaction:R_MDHp ... biggR:MDH ... biggR:MDHf ... biggR:MDHh ... biggR:MDHi2 ... biggR:MDHm ... biggR:MDHp ... biggR:R_MDH ... biggR:R_MDHf ... biggR:R_MDHh ... biggR:R_MDHi2 ... biggR:R_MDHm ... biggR:R_MDHp ... deprecated:MNXR3464 ... deprecated:MNXR91108 ... kegg.reaction:R00342 ... keggR:R00342 ... metacyc.reaction:MALATE-DEH-RXN ... metacycR:MALATE-DEH-RXN ... rhea:21432 ... rhea:21433 ... rhea:21434 ... rhea:21435 ... rheaR:21432 ... rheaR:21433 ... rheaR:21434 ... rheaR:21435 ... sabiork.reaction:113 ... sabiorkR:113 ... seed.reaction:rxn00248 ... seed.reaction:rxn20068 ... seed.reaction:rxn23652 ... seed.reaction:rxn27976 ... seed.reaction:rxn34245 ... seedR:rxn00248 ... seedR:rxn20068 ... seedR:rxn23652 ... seedR:rxn27976 ... seedR:rxn34245	1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM46@MNXD1 = 1 MNXM1107192@MNXD1 + 1 MNXM8@MNXD1
ME1	MNXR101446	rheaR:12653	bigg.reaction:ME1 ... bigg.reaction:ME1m ... bigg.reaction:R_ME1 ... bigg.reaction:R_ME1m ... biggR:ME1 ... biggR:ME1m ... biggR:R_ME1 ... biggR:R_ME1m ... deprecated:MNXR3470 ... kegg.reaction:R00214 ... keggR:R00214 ... metacyc.reaction:1.1.1.39-RXN ... metacyc.reaction:RXN-19748 ... metacycR:1.1.1.39-RXN ... metacycR:RXN-19748 ... rhea:12653 ... rhea:12654 ... rhea:12655 ... rhea:12656 ... rheaR:12653 ... rheaR:12654 ... rheaR:12655 ... rheaR:12656 ... sabiork.reaction:141 ... sabiorkR:141 ... seed.reaction:rxn00159 ... seed.reaction:rxn27459 ... seed.reaction:rxn31389 ... seed.reaction:rxn37872 ... seedR:rxn00159 ... seedR:rxn27459 ... seedR:rxn31389 ... seedR:rxn37872	1 MNXM10@MNXD1 + 1 MNXM13@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM1107192@MNXD1 + 1 MNXM8@MNXD1
ME2	MNXR101443	rheaR:18253	bigg.reaction:MDHC_nadp_hr ... bigg.reaction:ME2 ... bigg.reaction:ME2m ... bigg.reaction:ME_x ... bigg.reaction:R_MDHC_nadp_hr ... bigg.reaction:R_ME2 ... bigg.reaction:R_ME2m ... bigg.reaction:R_ME_x ... biggR:MDHC_nadp_hr ... biggR:ME2 ... biggR:ME2m ... biggR:ME_x ... biggR:R_MDHC_nadp_hr ... biggR:R_ME2 ... biggR:R_ME2m ... biggR:R_ME_x ... deprecated:MNXR3471 ... kegg.reaction:R00216 ... keggR:R00216 ... metacyc.reaction:MALIC-NADP-RXN ... metacycR:MALIC-NADP-RXN ... rhea:18253 ... rhea:18254 ... rhea:18255 ... rhea:18256 ... rheaR:18253 ... rheaR:18254 ... rheaR:18255 ... rheaR:18256 ... sabiork.reaction:142 ... sabiorkR:142 ... seed.reaction:rxn00161 ... seed.reaction:rxn27982 ... seed.reaction:rxn27983 ... seedR:rxn00161 ... seedR:rxn27982 ... seedR:rxn27983	1 MNXM1107192@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM13@MNXD1 + 1 MNXM23@MNXD1 + 1 MNXM738702@MNXD1
NADH16	MNXR101864	seedR:rxn08972	bigg.reaction:NADH16 ... bigg.reaction:NADH16pp ... bigg.reaction:R_NADH16 ... bigg.reaction:R_NADH16pp ... biggR:NADH16 ... biggR:NADH16pp ... biggR:R_NADH16 ... biggR:R_NADH16pp ... deprecated:MNXR55740 ... deprecated:MNXR83429 ... seed.reaction:rxn08972 ... seed.reaction:rxn30496 ... seedR:rxn08972 ... seedR:rxn30496	3 MNXM01@MNXD1 + 1 MNXM10@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM232@MNXD1 = 3 MNXM01@MNXD2 + 1 MNXM191@MNXD1 + 1 MNXM8@MNXD1
NADTRHD	MNXR101898	rheaR:11692	bigg.reaction:NADTRHD ... bigg.reaction:NADTRHD2 ... bigg.reaction:NNOR ... bigg.reaction:R_NADTRHD ... bigg.reaction:R_NADTRHD2 ... bigg.reaction:R_NNOR ... bigg.reaction:R_THD1_h ... bigg.reaction:THD1_h ... biggR:NADTRHD ... biggR:NADTRHD2 ... biggR:NNOR ... biggR:R_NADTRHD ... biggR:R_NADTRHD2 ... biggR:R_NNOR ... biggR:R_THD1_h ... biggR:THD1_h ... deprecated:MNXR3771 ... kegg.reaction:R00112 ... keggR:R00112 ... metacyc.reaction:PYRNUTRANSHYDROGEN-RXN ... metacycR:PYRNUTRANSHYDROGEN-RXN ... rhea:11692 ... rhea:11693 ... rhea:11694 ... rhea:11695 ... rheaR:11692 ... rheaR:11693 ... rheaR:11694 ... rheaR:11695 ... seed.reaction:rxn00083 ... seed.reaction:rxn27488 ... seed.reaction:rxn32580 ... seedR:rxn00083 ... seedR:rxn27488 ... seedR:rxn32580	1 MNXM10@MNXD1 + 1 MNXM5@MNXD1 = 1 MNXM738702@MNXD1 + 1 MNXM8@MNXD1
NH4t	MNXR101950	rheaR:28747	bigg.reaction:EX_nh3_e ... bigg.reaction:EX_nh4_e ... bigg.reaction:NH3te ... bigg.reaction:NH4t ... bigg.reaction:NH4tex ... bigg.reaction:NH4ti ... bigg.reaction:NH4tm ... bigg.reaction:NH4tn ... bigg.reaction:NH4tp ... bigg.reaction:NH4tpp ... bigg.reaction:NH4tr ... bigg.reaction:R_EX_nh3_e ... bigg.reaction:R_EX_nh4_e ... bigg.reaction:R_NH3te ... bigg.reaction:R_NH4t ... bigg.reaction:R_NH4tex ... bigg.reaction:R_NH4ti ... bigg.reaction:R_NH4tm ... bigg.reaction:R_NH4tn ... bigg.reaction:R_NH4tp ... bigg.reaction:R_NH4tpp ... bigg.reaction:R_NH4tr ... biggR:EX_nh3_e ... biggR:EX_nh4_e ... biggR:NH3te ... biggR:NH4t ... biggR:NH4tex ... biggR:NH4ti ... biggR:NH4tm ... biggR:NH4tn ... biggR:NH4tp ... biggR:NH4tpp ... biggR:NH4tr ... biggR:R_EX_nh3_e ... biggR:R_EX_nh4_e ... biggR:R_NH3te ... biggR:R_NH4t ... biggR:R_NH4tex ... biggR:R_NH4ti ... biggR:R_NH4tm ... biggR:R_NH4tn ... biggR:R_NH4tp ... biggR:R_NH4tpp ... biggR:R_NH4tr ... deprecated:MNXR156946 ... deprecated:MNXR3814 ... deprecated:MNXR82602 ... deprecated:MNXR98786 ... metacyc.reaction:RXN-9615 ... metacyc.reaction:TRANS-RXN0-206 ... metacyc.reaction:TRANS-RXN0-544 ... metacycR:RXN-9615 ... metacycR:TRANS-RXN0-206 ... metacycR:TRANS-RXN0-544 ... rhea:28747 ... rhea:28748 ... rhea:28749 ... rhea:28750 ... rheaR:28747 ... rheaR:28748 ... rheaR:28749 ... rheaR:28750 ... sabiork.reaction:11683 ... sabiorkR:11683 ... seed.reaction:rxn05466 ... seed.reaction:rxn08986 ... seed.reaction:rxn08987 ... seed.reaction:rxn09736 ... seed.reaction:rxn09835 ... seed.reaction:rxn13364 ... seed.reaction:rxn29187 ... seed.reaction:rxn29241 ... seed.reaction:rxn29242 ... seed.reaction:rxn39085 ... seedR:rxn05466 ... seedR:rxn08986 ... seedR:rxn08987 ... seedR:rxn09736 ... seedR:rxn09835 ... seedR:rxn13364 ... seedR:rxn29187 ... seedR:rxn29241 ... seedR:rxn29242 ... seedR:rxn39085	1 MNXM729302@MNXD1 = 1 MNXM729302@MNXD2
O2t	MNXR102090	seedR:rxn05468	bigg.reaction:EX_o2_e ... bigg.reaction:O2t ... bigg.reaction:O2tcx ... bigg.reaction:O2ter ... bigg.reaction:O2tex ... bigg.reaction:O2thr ... bigg.reaction:O2tl ... bigg.reaction:O2tm ... bigg.reaction:O2tn ... bigg.reaction:O2tp ... bigg.reaction:O2tpp ... bigg.reaction:O2trhu ... bigg.reaction:O2tu ... bigg.reaction:R_EX_o2_e ... bigg.reaction:R_O2t ... bigg.reaction:R_O2tcx ... bigg.reaction:R_O2ter ... bigg.reaction:R_O2tex ... bigg.reaction:R_O2thr ... bigg.reaction:R_O2tl ... bigg.reaction:R_O2tm ... bigg.reaction:R_O2tn ... bigg.reaction:R_O2tp ... bigg.reaction:R_O2tpp ... bigg.reaction:R_O2trhu ... bigg.reaction:R_O2tu ... biggR:EX_o2_e ... biggR:O2t ... biggR:O2tcx ... biggR:O2ter ... biggR:O2tex ... biggR:O2thr ... biggR:O2tl ... biggR:O2tm ... biggR:O2tn ... biggR:O2tp ... biggR:O2tpp ... biggR:O2trhu ... biggR:O2tu ... biggR:R_EX_o2_e ... biggR:R_O2t ... biggR:R_O2tcx ... biggR:R_O2ter ... biggR:R_O2tex ... biggR:R_O2thr ... biggR:R_O2tl ... biggR:R_O2tm ... biggR:R_O2tn ... biggR:R_O2tp ... biggR:R_O2tpp ... biggR:R_O2trhu ... biggR:R_O2tu ... deprecated:MNXR3931 ... deprecated:MNXR66722 ... deprecated:MNXR98799 ... metacyc.reaction:TRANS-RXN0-474 ... metacycR:TRANS-RXN0-474 ... seed.reaction:rxn05468 ... seed.reaction:rxn09031 ... seed.reaction:rxn09032 ... seed.reaction:rxn09641 ... seed.reaction:rxn09734 ... seed.reaction:rxn31180 ... seed.reaction:rxn31196 ... seed.reaction:rxn32715 ... seed.reaction:rxn32722 ... seed.reaction:rxn34182 ... seed.reaction:rxn34543 ... seedR:rxn05468 ... seedR:rxn09031 ... seedR:rxn09032 ... seedR:rxn09641 ... seedR:rxn09734 ... seedR:rxn31180 ... seedR:rxn31196 ... seedR:rxn32715 ... seedR:rxn32722 ... seedR:rxn34182 ... seedR:rxn34543	1 MNXM735438@MNXD1 = 1 MNXM735438@MNXD2
PDH	MNXR188625	rheaR:28042	bigg.reaction:PDH ... bigg.reaction:PDHapi ... bigg.reaction:PDHm ... bigg.reaction:R_PDH ... bigg.reaction:R_PDHapi ... bigg.reaction:R_PDHm ... biggR:PDH ... biggR:PDHapi ... biggR:PDHm ... biggR:R_PDH ... biggR:R_PDHapi ... biggR:R_PDHm ... deprecated:MNXR102425 ... deprecated:MNXR188626 ... kegg.reaction:R00209 ... keggR:R00209 ... metacyc.reaction:PYRUVDEH-RXN ... metacycR:PYRUVDEH-RXN ... rhea:28042 ... rhea:28043 ... rhea:28044 ... rhea:28045 ... rheaR:28042 ... rheaR:28043 ... rheaR:28044 ... rheaR:28045 ... sabiork.reaction:523 ... sabiorkR:523 ... seed.reaction:rxn00154 ... seed.reaction:rxn20656 ... seed.reaction:rxn30418 ... seedR:rxn00154 ... seedR:rxn20656 ... seedR:rxn30418	1 MNXM10@MNXD1 + 1 MNXM1104266@MNXD1 + 1 MNXM13@MNXD1 = 1 MNXM23@MNXD1 + 1 MNXM727276@MNXD1 + 1 MNXM8@MNXD1
PFK	MNXR145952	rheaR:16109	bigg.reaction:PFK ... bigg.reaction:PFKg ... bigg.reaction:R_PFK ... bigg.reaction:R_PFKg ... biggR:PFK ... biggR:PFKg ... biggR:R_PFK ... biggR:R_PFKg ... deprecated:MNXR102513 ... deprecated:MNXR145953 ... deprecated:MNXR180366 ... deprecated:MNXR188631 ... deprecated:MNXR188632 ... kegg.reaction:R00756 ... kegg.reaction:R04779 ... keggR:R00756 ... keggR:R04779 ... metacyc.reaction:6PFRUCTPHOS-RXN ... metacycR:6PFRUCTPHOS-RXN ... rhea:16109 ... rhea:16110 ... rhea:16111 ... rhea:16112 ... rheaR:16109 ... rheaR:16110 ... rheaR:16111 ... rheaR:16112 ... sabiork.reaction:2 ... sabiorkR:2 ... seed.reaction:rxn00545 ... seed.reaction:rxn15493 ... seed.reaction:rxn19015 ... seed.reaction:rxn33754 ... seed.reaction:rxn34257 ... seed.reaction:rxn38002 ... seed.reaction:rxn38003 ... seed.reaction:rxn38004 ... seedR:rxn00545 ... seedR:rxn15493 ... seedR:rxn19015 ... seedR:rxn33754 ... seedR:rxn34257 ... seedR:rxn38002 ... seedR:rxn38003 ... seedR:rxn38004	1 MNXM1106095@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM1107898@MNXD1 + 1 MNXM3@MNXD1
