#query	mnx_id	reference	xrefs	name
PFL	MNXR188637	rheaR:11844	bigg.reaction:PFL ... bigg.reaction:PFLACTm ... bigg.reaction:PFLh ... bigg.reaction:R_PFL ... bigg.reaction:R_PFLACTm ... bigg.reaction:R_PFLh ... biggR:PFL ... biggR:PFLACTm ... biggR:PFLh ... biggR:R_PFL ... biggR:R_PFLACTm ... biggR:R_PFLh ... deprecated:MNXR102514 ... deprecated:MNXR188638 ... kegg.reaction:R00212 ... keggR:R00212 ... metacyc.reaction:PYRUVFORMLY-RXN ... metacycR:PYRUVFORMLY-RXN ... rhea:11844 ... rhea:11845 ... rhea:11846 ... rhea:11847 ... rheaR:11844 ... rheaR:11845 ... rheaR:11846 ... rheaR:11847 ... sabiork.reaction:146 ... sabiorkR:146 ... seed.reaction:rxn00157 ... seed.reaction:rxn28121 ... seed.reaction:rxn34258 ... seedR:rxn00157 ... seedR:rxn28121 ... seedR:rxn34258	1 MNXM1104266@MNXD1 + 1 MNXM39@MNXD1 = 1 MNXM23@MNXD1 + 1 MNXM727276@MNXD1
PGI	MNXR191975	keggR:R00771	bigg.reaction:PGI ... bigg.reaction:PGI_h ... bigg.reaction:R_PGI ... bigg.reaction:R_PGI_h ... biggR:PGI ... biggR:PGI_h ... biggR:R_PGI ... biggR:R_PGI_h ... deprecated:MNXR145519 ... deprecated:MNXR145521 ... deprecated:MNXR145970 ... deprecated:MNXR151553 ... deprecated:MNXR189100 ... deprecated:MNXR189101 ... kegg.reaction:R00771 ... keggR:R00771 ... metacyc.reaction:PGLUCISOM-RXN ... metacycR:PGLUCISOM-RXN ... seed.reaction:rxn00558 ... seed.reaction:rxn33838 ... seed.reaction:rxn34259 ... seed.reaction:rxn37760 ... seedR:rxn00558 ... seedR:rxn33838 ... seedR:rxn34259 ... seedR:rxn37760	1 MNXM1105858@MNXD1 = 1 MNXM1107898@MNXD1
PGK	MNXR191159	rheaR:14801	bigg.reaction:PGK ... bigg.reaction:PGKf ... bigg.reaction:PGKg ... bigg.reaction:PGKh ... bigg.reaction:PGKm ... bigg.reaction:R_PGK ... bigg.reaction:R_PGKf ... bigg.reaction:R_PGKg ... bigg.reaction:R_PGKh ... bigg.reaction:R_PGKm ... biggR:PGK ... biggR:PGKf ... biggR:PGKg ... biggR:PGKh ... biggR:PGKm ... biggR:R_PGK ... biggR:R_PGKf ... biggR:R_PGKg ... biggR:R_PGKh ... biggR:R_PGKm ... deprecated:MNXR102538 ... kegg.reaction:R01512 ... keggR:R01512 ... metacyc.reaction:PHOSGLYPHOS-RXN ... metacycR:PHOSGLYPHOS-RXN ... rhea:14801 ... rhea:14802 ... rhea:14803 ... rhea:14804 ... rheaR:14801 ... rheaR:14802 ... rheaR:14803 ... rheaR:14804 ... sabiork.reaction:7644 ... sabiorkR:7644 ... seed.reaction:rxn01100 ... seed.reaction:rxn20544 ... seed.reaction:rxn35241 ... seed.reaction:rxn38256 ... seed.reaction:rxn38257 ... seedR:rxn01100 ... seedR:rxn20544 ... seedR:rxn35241 ... seedR:rxn38256 ... seedR:rxn38257	1 MNXM1108073@MNXD1 + 1 MNXM40333@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM727604@MNXD1
PGL	MNXR188641	rheaR:12556	bigg.reaction:PGL ... bigg.reaction:PGLc ... bigg.reaction:PGLer ... bigg.reaction:PGLg ... bigg.reaction:PGLh ... bigg.reaction:R_PGL ... bigg.reaction:R_PGLc ... bigg.reaction:R_PGLer ... bigg.reaction:R_PGLg ... bigg.reaction:R_PGLh ... biggR:PGL ... biggR:PGLc ... biggR:PGLer ... biggR:PGLg ... biggR:PGLh ... biggR:R_PGL ... biggR:R_PGLc ... biggR:R_PGLer ... biggR:R_PGLg ... biggR:R_PGLh ... deprecated:MNXR102539 ... deprecated:MNXR188642 ... kegg.reaction:R02035 ... keggR:R02035 ... metacyc.reaction:6PGLUCONOLACT-RXN ... metacycR:6PGLUCONOLACT-RXN ... rhea:12556 ... rhea:12557 ... rhea:12558 ... rhea:12559 ... rheaR:12556 ... rheaR:12557 ... rheaR:12558 ... rheaR:12559 ... sabiork.reaction:109 ... sabiorkR:109 ... seed.reaction:rxn01476 ... seed.reaction:rxn19017 ... seed.reaction:rxn19018 ... seedR:rxn01476 ... seedR:rxn19017 ... seedR:rxn19018	1 MNXM1104491@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM734080@MNXD1
PGM	MNXR102547	rheaR:15901	bigg.reaction:PGAM_h ... bigg.reaction:PGM ... bigg.reaction:PGMf ... bigg.reaction:PGMm ... bigg.reaction:R_PGAM_h ... bigg.reaction:R_PGM ... bigg.reaction:R_PGMf ... bigg.reaction:R_PGMm ... biggR:PGAM_h ... biggR:PGM ... biggR:PGMf ... biggR:PGMm ... biggR:R_PGAM_h ... biggR:R_PGM ... biggR:R_PGMf ... biggR:R_PGMm ... deprecated:MNXR133115 ... deprecated:MNXR4195 ... kegg.reaction:R01518 ... keggR:R01518 ... metacyc.reaction:3PGAREARR-RXN ... metacyc.reaction:RXN-15513 ... metacycR:3PGAREARR-RXN ... metacycR:RXN-15513 ... rhea:15901 ... rhea:15902 ... rhea:15903 ... rhea:15904 ... rheaR:15901 ... rheaR:15902 ... rheaR:15903 ... rheaR:15904 ... sabiork.reaction:7 ... sabiork.reaction:7641 ... sabiorkR:7 ... sabiorkR:7641 ... seed.reaction:rxn01106 ... seed.reaction:rxn18917 ... seed.reaction:rxn35234 ... seedR:rxn01106 ... seedR:rxn18917 ... seedR:rxn35234	1 MNXM275@MNXD1 = 1 MNXM727604@MNXD1
PIt2r	MNXR102872	rheaR:29939	bigg.reaction:PIt2m ... bigg.reaction:PIt2n ... bigg.reaction:PIt2p ... bigg.reaction:PIt2r ... bigg.reaction:PIt2rpp ... bigg.reaction:PIt2v ... bigg.reaction:PIt_h ... bigg.reaction:PItf ... bigg.reaction:R_PIt2m ... bigg.reaction:R_PIt2n ... bigg.reaction:R_PIt2p ... bigg.reaction:R_PIt2r ... bigg.reaction:R_PIt2rpp ... bigg.reaction:R_PIt2v ... bigg.reaction:R_PIt_h ... bigg.reaction:R_PItf ... biggR:PIt2m ... biggR:PIt2n ... biggR:PIt2p ... biggR:PIt2r ... biggR:PIt2rpp ... biggR:PIt2v ... biggR:PIt_h ... biggR:PItf ... biggR:R_PIt2m ... biggR:R_PIt2n ... biggR:R_PIt2p ... biggR:R_PIt2r ... biggR:R_PIt2rpp ... biggR:R_PIt2v ... biggR:R_PIt_h ... biggR:R_PItf ... deprecated:MNXR4295 ... metacyc.reaction:TRANS-RXN-114 ... metacycR:TRANS-RXN-114 ... rhea:29939 ... rhea:29940 ... rhea:29941 ... rhea:29942 ... rheaR:29939 ... rheaR:29940 ... rheaR:29941 ... rheaR:29942 ... seed.reaction:rxn05312 ... seed.reaction:rxn09120 ... seed.reaction:rxn09723 ... seed.reaction:rxn09811 ... seed.reaction:rxn09833 ... seed.reaction:rxn09872 ... seed.reaction:rxn34261 ... seedR:rxn05312 ... seedR:rxn09120 ... seedR:rxn09723 ... seedR:rxn09811 ... seedR:rxn09833 ... seedR:rxn09872 ... seedR:rxn34261	1 MNXM01@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM9@MNXD2
PPC	MNXR103096	rheaR:23072	bigg.reaction:PEPC_h ... bigg.reaction:PEPC_m ... bigg.reaction:PPC ... bigg.reaction:R_PEPC_h ... bigg.reaction:R_PEPC_m ... bigg.reaction:R_PPC ... biggR:PEPC_h ... biggR:PEPC_m ... biggR:PPC ... biggR:R_PEPC_h ... biggR:R_PEPC_m ... biggR:R_PPC ... deprecated:MNXR4381 ... kegg.reaction:R00345 ... keggR:R00345 ... rhea:23072 ... rhea:23073 ... rhea:23074 ... rhea:23075 ... rheaR:23072 ... rheaR:23073 ... rheaR:23074 ... rheaR:23075 ... sabiork.reaction:150 ... sabiorkR:150 ... seed.reaction:rxn00251 ... seed.reaction:rxn32421 ... seedR:rxn00251 ... seedR:rxn32421	1 MNXM13@MNXD1 + 1 MNXM73@MNXD1 + 1 WATER@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM46@MNXD1 + 1 MNXM9@MNXD1
PPCK	MNXR103099	rheaR:18617	bigg.reaction:PPCK ... bigg.reaction:PPCKg ... bigg.reaction:PPCKm ... bigg.reaction:R_PPCK ... bigg.reaction:R_PPCKg ... bigg.reaction:R_PPCKm ... biggR:PPCK ... biggR:PPCKg ... biggR:PPCKm ... biggR:R_PPCK ... biggR:R_PPCKg ... biggR:R_PPCKm ... deprecated:MNXR4383 ... kegg.reaction:R00341 ... keggR:R00341 ... metacyc.reaction:PEPCARBOXYKIN-RXN ... metacycR:PEPCARBOXYKIN-RXN ... rhea:18617 ... rhea:18618 ... rhea:18619 ... rhea:18620 ... rheaR:18617 ... rheaR:18618 ... rheaR:18619 ... rheaR:18620 ... sabiork.reaction:151 ... sabiorkR:151 ... seed.reaction:rxn00247 ... seed.reaction:rxn35519 ... seedR:rxn00247 ... seedR:rxn35519	1 MNXM13@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM73@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM46@MNXD1
PPS	MNXR103140	rheaR:11364	bigg.reaction:PPS ... bigg.reaction:R_PPS ... biggR:PPS ... biggR:R_PPS ... deprecated:MNXR4414 ... kegg.reaction:R00199 ... keggR:R00199 ... metacyc.reaction:PEPSYNTH-RXN ... metacycR:PEPSYNTH-RXN ... rhea:11364 ... rhea:11365 ... rhea:11366 ... rhea:11367 ... rheaR:11364 ... rheaR:11365 ... rheaR:11366 ... rheaR:11367 ... sabiork.reaction:148 ... sabiorkR:148 ... seed.reaction:rxn00147 ... seed.reaction:rxn33266 ... seedR:rxn00147 ... seedR:rxn33266	2 MNXM1@MNXD1 + 1 MNXM728294@MNXD1 + 1 MNXM73@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM23@MNXD1 + 1 MNXM3@MNXD1 + 1 WATER@MNXD1
PTAr	MNXR188714	rheaR:19521	bigg.reaction:PTAr ... bigg.reaction:PTArh ... bigg.reaction:PTArm ... bigg.reaction:R_PTAr ... bigg.reaction:R_PTArh ... bigg.reaction:R_PTArm ... biggR:PTAr ... biggR:PTArh ... biggR:PTArm ... biggR:R_PTAr ... biggR:R_PTArh ... biggR:R_PTArm ... deprecated:MNXR103319 ... deprecated:MNXR188715 ... kegg.reaction:R00230 ... keggR:R00230 ... metacyc.reaction:PHOSACETYLTRANS-RXN ... metacycR:PHOSACETYLTRANS-RXN ... rhea:19521 ... rhea:19522 ... rhea:19523 ... rhea:19524 ... rheaR:19521 ... rheaR:19522 ... rheaR:19523 ... rheaR:19524 ... sabiork.reaction:72 ... sabiorkR:72 ... seed.reaction:rxn00173 ... seed.reaction:rxn20541 ... seed.reaction:rxn28067 ... seed.reaction:rxn28068 ... seed.reaction:rxn34298 ... seedR:rxn00173 ... seedR:rxn20541 ... seedR:rxn28067 ... seedR:rxn28068 ... seedR:rxn34298	1 MNXM1104266@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM280@MNXD1 + 1 MNXM727276@MNXD1
PYK	MNXR103371	rheaR:18157	bigg.reaction:PYK ... bigg.reaction:PYK_h ... bigg.reaction:PYKf ... bigg.reaction:PYKm ... bigg.reaction:R_PYK ... bigg.reaction:R_PYK_h ... bigg.reaction:R_PYKf ... bigg.reaction:R_PYKm ... biggR:PYK ... biggR:PYK_h ... biggR:PYKf ... biggR:PYKm ... biggR:R_PYK ... biggR:R_PYK_h ... biggR:R_PYKf ... biggR:R_PYKm ... deprecated:MNXR4545 ... kegg.reaction:R00200 ... keggR:R00200 ... metacyc.reaction:PEPDEPHOS-RXN ... metacycR:PEPDEPHOS-RXN ... rhea:18157 ... rhea:18158 ... rhea:18159 ... rhea:18160 ... rheaR:18157 ... rheaR:18158 ... rheaR:18159 ... rheaR:18160 ... sabiork.reaction:9 ... sabiorkR:9 ... seed.reaction:rxn00148 ... seed.reaction:rxn20509 ... seed.reaction:rxn35242 ... seedR:rxn00148 ... seedR:rxn20509 ... seedR:rxn35242	1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM73@MNXD1 = 1 MNXM23@MNXD1 + 1 MNXM3@MNXD1
PYRt2	MNXR103385	rheaR:64720	bigg.reaction:PYRt2 ... bigg.reaction:PYRt2m ... bigg.reaction:PYRt2p ... bigg.reaction:PYRt2rpp ... bigg.reaction:R_PYRt2 ... bigg.reaction:R_PYRt2m ... bigg.reaction:R_PYRt2p ... bigg.reaction:R_PYRt2rpp ... biggR:PYRt2 ... biggR:PYRt2m ... biggR:PYRt2p ... biggR:PYRt2rpp ... biggR:R_PYRt2 ... biggR:R_PYRt2m ... biggR:R_PYRt2p ... biggR:R_PYRt2rpp ... deprecated:MNXR4552 ... metacyc.reaction:TRANS-RXN-335 ... metacycR:TRANS-RXN-335 ... rhea:64720 ... rhea:64721 ... rhea:64722 ... rhea:64723 ... rheaR:64720 ... rheaR:64721 ... rheaR:64722 ... rheaR:64723 ... seed.reaction:rxn05469 ... seed.reaction:rxn09217 ... seed.reaction:rxn09717 ... seed.reaction:rxn09832 ... seedR:rxn05469 ... seedR:rxn09217 ... seedR:rxn09717 ... seedR:rxn09832	1 MNXM01@MNXD1 + 1 MNXM23@MNXD1 = 1 MNXM01@MNXD2 + 1 MNXM23@MNXD2
RPE	MNXR104083	rheaR:13677	bigg.reaction:RPE ... bigg.reaction:RPEc ... bigg.reaction:RPEg ... bigg.reaction:RPEh ... bigg.reaction:R_RPE ... bigg.reaction:R_RPEc ... bigg.reaction:R_RPEg ... bigg.reaction:R_RPEh ... biggR:RPE ... biggR:RPEc ... biggR:RPEg ... biggR:RPEh ... biggR:R_RPE ... biggR:R_RPEc ... biggR:R_RPEg ... biggR:R_RPEh ... deprecated:MNXR4653 ... kegg.reaction:R01529 ... keggR:R01529 ... metacyc.reaction:RIBULP3EPIM-RXN ... metacycR:RIBULP3EPIM-RXN ... rhea:13677 ... rhea:13678 ... rhea:13679 ... rhea:13680 ... rheaR:13677 ... rheaR:13678 ... rheaR:13679 ... rheaR:13680 ... sabiork.reaction:62 ... sabiorkR:62 ... seed.reaction:rxn01116 ... seed.reaction:rxn28146 ... seedR:rxn01116 ... seedR:rxn28146	1 MNXM145@MNXD1 = 1 MNXM186@MNXD1
RPI	MNXR189850	keggR:R01056	bigg.reaction:RPI ... bigg.reaction:RPIg ... bigg.reaction:RPIh ... bigg.reaction:R_RPI ... bigg.reaction:R_RPIg ... bigg.reaction:R_RPIh ... bigg.reaction:R_r0249 ... bigg.reaction:r0249 ... biggR:RPI ... biggR:RPIg ... biggR:RPIh ... biggR:R_RPI ... biggR:R_RPIg ... biggR:R_RPIh ... biggR:R_r0249 ... biggR:r0249 ... deprecated:MNXR146353 ... deprecated:MNXR189851 ... kegg.reaction:R01056 ... keggR:R01056 ... seed.reaction:rxn00777 ... seed.reaction:rxn15114 ... seed.reaction:rxn28141 ... seed.reaction:rxn34267 ... seed.reaction:rxn38284 ... seedR:rxn00777 ... seedR:rxn15114 ... seedR:rxn28141 ... seedR:rxn34267 ... seedR:rxn38284	1 MNXM1104056@MNXD1 = 1 MNXM145@MNXD1 + 2 MNXM1@MNXD1
SUCCt2_2	MNXR104620	rheaR:29303	bigg.reaction:R_SUCCt2_2 ... bigg.reaction:R_SUCCt2_2pp ... bigg.reaction:SUCCt2_2 ... bigg.reaction:SUCCt2_2pp ... biggR:R_SUCCt2_2 ... biggR:R_SUCCt2_2pp ... biggR:SUCCt2_2 ... biggR:SUCCt2_2pp ... deprecated:MNXR4947 ... metacyc.reaction:TRANS-RXN-121 ... metacycR:TRANS-RXN-121 ... rhea:29303 ... rhea:29304 ... rhea:29305 ... rhea:29306 ... rheaR:29303 ... rheaR:29304 ... rheaR:29305 ... rheaR:29306 ... seed.reaction:rxn09269 ... seed.reaction:rxn10154 ... seedR:rxn09269 ... seedR:rxn10154	2 MNXM01@MNXD1 + 1 MNXM25@MNXD1 = 2 MNXM01@MNXD2 + 1 MNXM25@MNXD2
SUCCt3	MNXR104623	seedR:rxn09270	bigg.reaction:R_SUCCt3 ... bigg.reaction:R_SUCCt3pp ... bigg.reaction:SUCCt3 ... bigg.reaction:SUCCt3pp ... biggR:R_SUCCt3 ... biggR:R_SUCCt3pp ... biggR:SUCCt3 ... biggR:SUCCt3pp ... seed.reaction:rxn09270 ... seedR:rxn09270	1 MNXM01@MNXD1 + 1 MNXM25@MNXD2 = 1 MNXM01@MNXD2 + 1 MNXM25@MNXD1
SUCDi	MNXR99641	rheaR:29187	bigg.reaction:FRD7 ... bigg.reaction:R_FRD7 ... bigg.reaction:R_SUCDH_q8_m ... bigg.reaction:R_SUCDi ... bigg.reaction:SUCDH_q8_m ... bigg.reaction:SUCDi ... biggR:FRD7 ... biggR:R_FRD7 ... biggR:R_SUCDH_q8_m ... biggR:R_SUCDi ... biggR:SUCDH_q8_m ... biggR:SUCDi ... deprecated:MNXR69008 ... rhea:29187 ... rhea:29188 ... rhea:29189 ... rhea:29190 ... rheaR:29187 ... rheaR:29188 ... rheaR:29189 ... rheaR:29190 ... seed.reaction:rxn09272 ... seed.reaction:rxn27238 ... seed.reaction:rxn37566 ... seed.reaction:rxn37641 ... seed.reaction:rxn37642 ... seed.reaction:rxn37644 ... seed.reaction:rxn38714 ... seed.reaction:rxn38716 ... seed.reaction:rxn38993 ... seedR:rxn09272 ... seedR:rxn27238 ... seedR:rxn37566 ... seedR:rxn37641 ... seedR:rxn37642 ... seedR:rxn37644 ... seedR:rxn38714 ... seedR:rxn38716 ... seedR:rxn38993	1 MNXM191@MNXD1 + 1 MNXM737340@MNXD1 = 1 MNXM232@MNXD1 + 1 MNXM25@MNXD1
SUCOAS	MNXR188878	rheaR:17661	bigg.reaction:R_SUCLm ... bigg.reaction:R_SUCOAS ... bigg.reaction:R_SUCOASm ... bigg.reaction:SUCLm ... bigg.reaction:SUCOAS ... bigg.reaction:SUCOASm ... biggR:R_SUCLm ... biggR:R_SUCOAS ... biggR:R_SUCOASm ... biggR:SUCLm ... biggR:SUCOAS ... biggR:SUCOASm ... deprecated:MNXR104635 ... deprecated:MNXR188879 ... kegg.reaction:R00405 ... keggR:R00405 ... metacyc.reaction:SUCCCOASYN-RXN ... metacycR:SUCCCOASYN-RXN ... rhea:17661 ... rhea:17662 ... rhea:17663 ... rhea:17664 ... rheaR:17661 ... rheaR:17662 ... rheaR:17663 ... rheaR:17664 ... sabiork.reaction:260 ... sabiorkR:260 ... seed.reaction:rxn00285 ... seed.reaction:rxn28991 ... seedR:rxn00285 ... seedR:rxn28991	1 MNXM1104774@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM25@MNXD1 + 1 MNXM3@MNXD1 + 1 MNXM727276@MNXD1
TALA	MNXR146501	biggR:TALA	bigg.reaction:R_TALA ... bigg.reaction:R_TALA_h ... bigg.reaction:TALA ... bigg.reaction:TALA_h ... biggR:R_TALA ... biggR:R_TALA_h ... biggR:TALA ... biggR:TALA_h ... deprecated:MNXR104715	1 MNXM1107898@MNXD1 + 2 MNXM1@MNXD1 + 1 MNXM258@MNXD1 = 1 MNXM733314@MNXD1 + 1 MNXM739945@MNXD1
THD2	MNXR104805	seedR:rxn09295	bigg.reaction:R_THD2 ... bigg.reaction:R_THD2pp ... bigg.reaction:THD2 ... bigg.reaction:THD2pp ... biggR:R_THD2 ... biggR:R_THD2pp ... biggR:THD2 ... biggR:THD2pp ... deprecated:MNXR5035 ... seed.reaction:rxn09295 ... seed.reaction:rxn10125 ... seedR:rxn09295 ... seedR:rxn10125	2 MNXM01@MNXD1 + 1 MNXM10@MNXD2 + 1 MNXM5@MNXD2 = 2 MNXM01@MNXD2 + 1 MNXM738702@MNXD2 + 1 MNXM8@MNXD2
TKT1	MNXR104868	biggR:TKT1	bigg.reaction:R_TKT1 ... bigg.reaction:R_TKT1g ... bigg.reaction:R_TKT1h ... bigg.reaction:TKT1 ... bigg.reaction:TKT1g ... bigg.reaction:TKT1h ... biggR:R_TKT1 ... biggR:R_TKT1g ... biggR:R_TKT1h ... biggR:TKT1 ... biggR:TKT1g ... biggR:TKT1h ... deprecated:MNXR55952 ... deprecated:MNXR69977	1 MNXM1104056@MNXD1 + 1 MNXM186@MNXD1 = 1 MNXM733314@MNXD1 + 1 MNXM739945@MNXD1
TKT2	MNXR146555	biggR:TKL2_h	bigg.reaction:R_TKL2_h ... bigg.reaction:R_TKT2 ... bigg.reaction:R_TKT2g ... bigg.reaction:TKL2_h ... bigg.reaction:TKT2 ... bigg.reaction:TKT2g ... biggR:R_TKL2_h ... biggR:R_TKT2 ... biggR:R_TKT2g ... biggR:TKL2_h ... biggR:TKT2 ... biggR:TKT2g ... deprecated:MNXR104869	1 MNXM1107898@MNXD1 + 1 MNXM739945@MNXD1 = 1 MNXM186@MNXD1 + 2 MNXM1@MNXD1 + 1 MNXM258@MNXD1
TPI	MNXR146573	biggR:TPI	bigg.reaction:R_TPI ... bigg.reaction:R_TPI_m ... bigg.reaction:R_TPIg ... bigg.reaction:R_TPIh ... bigg.reaction:TPI ... bigg.reaction:TPI_m ... bigg.reaction:TPIg ... bigg.reaction:TPIh ... biggR:R_TPI ... biggR:R_TPI_m ... biggR:R_TPIg ... biggR:R_TPIh ... biggR:TPI ... biggR:TPI_m ... biggR:TPIg ... biggR:TPIh ... deprecated:MNXR104918	2 MNXM1@MNXD1 + 1 MNXM77@MNXD1 = 1 MNXM739945@MNXD1
